"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Alabama",1997,4367935,2133573,31465
"Arizona",1997,4736990,2308569,34485
"Arkansas",1997,2601090,1242594,30470
"California",1997,32486010,15790063,41314
"Colorado",1997,4018293,2217553,43632
"Connecticut",1997,3349348,1752540,54783
"Delaware",1997,751487,387597,57373
"District of Columbia",1997,567736,282744,131750
"Florida",1997,15186304,7368111,35611
"Georgia",1997,7685099,3960492,41289
"Idaho",1997,1228520,633725,28973
"Illinois",1997,12185715,6300928,45613
"Indiana",1997,5955267,3120608,37398
"Iowa",1997,2891119,1602935,37300
"Kansas",1997,2635292,1381702,37394
"Kentucky",1997,3952747,1916745,35384
"Louisiana",1997,4421071,2021240,40661
"Maine",1997,1254774,656709,33011
"Maryland",1997,5157328,2766990,41929
"Massachusetts",1997,6226058,3305660,47225
"Michigan",1997,9809051,4954558,39314
"Minnesota",1997,4763390,2679234,42629
"Mississippi",1997,2777004,1272802,28368
"Missouri",1997,5481193,2927870,39749
"Montana",1997,889865,452708,30009
"Nebraska",1997,1686418,921312,39468
"Nevada",1997,1764104,939780,47622
"New Hampshire",1997,1189425,649244,39215
"New Jersey",1997,8218808,4263767,49674
"New Mexico",1997,1774839,823101,36181
"New York",1997,18656546,9012217,49027
"North Carolina",1997,7656825,3983679,39424
"North Dakota",1997,649716,351391,31924
"Ohio",1997,11277357,5695177,39495
"Oklahoma",1997,3372917,1609954,32363
"Oregon",1997,3304310,1750280,34053
"Pennsylvania",1997,12227814,6056001,38830
"Rhode Island",1997,1025353,527878,37740
"South Carolina",1997,3859696,1911635,34141
"South Dakota",1997,744223,393649,30781
"Tennessee",1997,5499233,2786082,36870
"Texas",1997,19740317,9922250,41305
"Utah",1997,2119784,1070223,35632
"Vermont",1997,597239,327878,32684
"Virginia",1997,6829183,3446323,43069
"Washington",1997,5674747,2981747,45938
"West Virginia",1997,1819113,796507,30443
"Wisconsin",1997,5266213,2970086,38770
"Wyoming",1997,489451,253828,46657
"Alabama",1998,4404701,2136177,32310
"Arizona",1998,4883342,2387027,36281
"Arkansas",1998,2626289,1241352,30834
"California",1998,32987675,16144564,43329
"Colorado",1998,4116639,2311582,46149
"Connecticut",1998,3365352,1742196,56336
"Delaware",1998,763335,394889,59129
"District of Columbia",1998,565230,291902,134340
"Florida",1998,15486559,7521469,36629
"Georgia",1998,7863536,4072762,43110
"Idaho",1998,1252330,649435,29672
"Illinois",1998,12271847,6347005,46720
"Indiana",1998,5998880,3123160,39431
"Iowa",1998,2902872,1595942,37466
"Kansas",1998,2660598,1416392,38333
"Kentucky",1998,3985390,1932757,36086
"Louisiana",1998,4440344,2048904,41771
"Maine",1998,1259127,653210,33755
"Maryland",1998,5204464,2764180,43467
"Massachusetts",1998,6271838,3340628,48828
"Michigan",1998,9847942,5019762,40095
"Minnesota",1998,4813412,2711784,44442
"Mississippi",1998,2804834,1274790,28760
"Missouri",1998,5521765,2916610,40099
"Montana",1998,892431,460394,31017
"Nebraska",1998,1695816,930952,39955
"Nevada",1998,1853191,978737,47529
"New Hampshire",1998,1205940,661664,41097
"New Jersey",1998,8287418,4246417,50238
"New Mexico",1998,1793484,834554,35611
"New York",1998,18755906,9071814,49728
"North Carolina",1998,7809121,3990054,39861
"North Dakota",1998,647532,349505,33717
"Ohio",1998,11311536,5707110,40746
"Oklahoma",1998,3405194,1637452,32700
"Oregon",1998,3352449,1779976,35257
"Pennsylvania",1998,12245672,6063130,39869
"Rhode Island",1998,1031155,532609,38856
"South Carolina",1998,3919235,1941200,34960
"South Dakota",1998,746058,399442,32505
"Tennessee",1998,5570045,2812390,38553
"Texas",1998,20157531,10095846,43372
"Utah",1998,2165960,1100830,36907
"Vermont",1998,600416,333732,33451
"Virginia",1998,6900918,3485097,44668
"Washington",1998,5769562,3050487,48017
"West Virginia",1998,1815609,795145,30904
"Wisconsin",1998,5297672,2969590,39857
"Wyoming",1998,490787,257589,47475
"Alabama",1999,4430141,2140296,33345
"Arizona",1999,5023823,2473013,38317
"Arkansas",1999,2651860,1255032,32160
"California",1999,33499204,16416600,45870
"Colorado",1999,4226018,2344282,48192
"Connecticut",1999,3386401,1754565,57418
"Delaware",1999,774990,398783,62710
"District of Columbia",1999,570213,306131,139367
"Florida",1999,15759421,7657159,37588
"Georgia",1999,8045965,4153499,44998
"Idaho",1999,1275674,651207,32004
"Illinois",1999,12359020,6467988,47951
"Indiana",1999,6044969,3124851,40389
"Iowa",1999,2917634,1596414,38058
"Kansas",1999,2678338,1425599,39230
"Kentucky",1999,4018053,1959402,37036
"Louisiana",1999,4460811,2039045,42373
"Maine",1999,1266808,668497,35119
"Maryland",1999,5254509,2766119,44780
"Massachusetts",1999,6317345,3353865,51024
"Michigan",1999,9897116,5115757,41956
"Minnesota",1999,4873481,2756145,45580
"Mississippi",1999,2828408,1286502,29321
"Missouri",1999,5561948,2904971,40917
"Montana",1999,897507,464373,31337
"Nebraska",1999,1704764,937559,40643
"Nevada",1999,1934718,1020300,48817
"New Hampshire",1999,1222014,675195,41440
"New Jersey",1999,8359592,4287886,51394
"New Mexico",1999,1808082,836237,37455
"New York",1999,18882725,9126567,51818
"North Carolina",1999,7949361,4057006,41557
"North Dakota",1999,644259,343452,33919
"Ohio",1999,11335454,5754992,41559
"Oklahoma",1999,3437147,1656205,33276
"Oregon",1999,3393941,1793699,35634
"Pennsylvania",1999,12263805,6076778,41021
"Rhode Island",1999,1040402,538096,39847
"South Carolina",1999,3974682,1981546,36006
"South Dakota",1999,750412,406105,33926
"Tennessee",1999,5638706,2852445,39343
"Texas",1999,20558220,10245857,44342
"Utah",1999,2203482,1120920,37950
"Vermont",1999,604683,336946,34922
"Virginia",1999,7000174,3540081,46292
"Washington",1999,5842564,3085544,50560
"West Virginia",1999,1811799,804343,32101
"Wisconsin",1999,5332666,2947247,41125
"Wyoming",1999,491780,262758,49170
"Alabama",2000,4452173,2133223,33712
"Arizona",2000,5160586,2509883,39247
"Arkansas",2000,2678588,1258301,32057
"California",2000,33987977,16867808,48635
"Colorado",2000,4326921,2359515,50544
"Connecticut",2000,3411777,1764126,60661
"Delaware",2000,786373,413500,64013
"District of Columbia",2000,572046,310469,139750
"Florida",2000,16047515,7856895,38404
"Georgia",2000,8227303,4222253,45539
"Idaho",2000,1299430,659824,35034
"Illinois",2000,12434161,6493466,49276
"Indiana",2000,6091866,3126379,41302
"Iowa",2000,2929067,1590453,39824
"Kansas",2000,2693681,1406580,40077
"Kentucky",2000,4049021,1965688,35701
"Louisiana",2000,4471885,2037075,40908
"Maine",2000,1277072,678164,36202
"Maryland",2000,5311034,2803685,45745
"Massachusetts",2000,6361104,3330177,54703
"Michigan",2000,9952450,5162774,42325
"Minnesota",2000,4933692,2812947,48055
"Mississippi",2000,2848353,1319266,29272
"Missouri",2000,5607285,2959946,41722
"Montana",2000,903773,467293,31816
"Nebraska",2000,1713820,944973,42015
"Nevada",2000,2018741,1067022,48826
"New Hampshire",2000,1239882,687908,43194
"New Jersey",2000,8430621,4282069,53276
"New Mexico",2000,1821204,845755,37950
"New York",2000,19001780,9133869,53046
"North Carolina",2000,8081614,4138190,42201
"North Dakota",2000,642023,342568,35134
"Ohio",2000,11363543,5787343,42320
